,friend,line
0,Monica," There's nothing to tell! He's just some guy
I work with!"
1,Joey," C'mon, you're going out with the guy! There's
gotta be something wrong with him!"
2,Chandler," All right Joey, be
nice.  So does he have a hump? A hump and a hairpiece?"
3,Phoebe," Wait, does he eat chalk?"
5,Phoebe," Just, 'cause, I don't want her to go through
what I went through with Carl- oh!"
6,Monica," Okay, everybody relax. This is not even a
date. It's just two people going out to dinner and- not having sex."
7,Chandler, Sounds like a date to me.
9,Chandler," Alright, so I'm back in high school, I'm
standing in the middle of the cafeteria, and I realize I am totally naked."
11,Chandler," Then I look down, and I realize there's a
phone... there."
12,Joey, Instead of...?
13,Chandler, That's right.
14,Joey, Never had that dream.
15,Phoebe, No.
16,Chandler," All of a sudden, the phone starts to ring.
Now I don't know what to do, everybody starts looking at me. "
17,Monica," And they weren't looking at
you before?!"
18,Chandler," Finally, I figure
I'd better answer it, and it turns out it's my mother,
which is very-very weird, because- she never calls me!"
20,Ross, (mortified) Hi.
21,Joey," This guy says hello, I wanna kill myself."
22,Monica," Are you okay, sweetie?"
23,Ross," I just feel like someone reached down my
throat, grabbed my small intestine, pulled it out of my mouth and tied it around my
neck..."
24,Chandler, Cookie?
25,Monica," (explaining to the others) Carol moved her
stuff out today. "
26,Joey, Ohh.
27,Monica, (to Ross) Let me get you some coffee.
28,Ross, Thanks.
29,Phoebe," Ooh! Oh! (She starts to pluck at the air
just in front of Ross.)"
30,Ross," No, no don't! Stop cleansing my aura! No, just
leave my aura alone, okay?"
31,Phoebe, Fine!  Be murky!
32,Ross," I'll be fine,
alright? Really, everyone. I hope she'll be very happy."
33,Monica, No you don't.
34,Ross," No I don't, to hell with her, she left me!"
35,Joey, And you never knew she was a lesbian...
36,Ross," No!! Okay?! Why does everyone keep fixating on
that? She didn't know, how should I know?"
37,Chandler," Sometimes I wish I was a lesbian... (They
all stare at him.) Did I say that out loud?"
38,Ross," I told mom and dad last night,
they seemed to take it pretty well."
39,Monica," Oh really, so that
hysterical phone call I got from a woman at sobbing 300 A.M., ""I'll never have
grandchildren, I'll never have grandchildren."" was what?  A wrong number?"
40,Ross, Sorry.
41,Joey," Alright Ross, look. You're feeling a lot of
pain right now. You're angry. You're hurting. Can I tell you what the answer is?"
43,Joey," Strip joint! C'mon, you're single! Have some
hormones!"
44,Ross," I don't want to be single, okay? I just... I
just- I just wanna be married again!"
46,Chandler," And I just want a million dollars! (He
extends his hand hopefully.)"
47,Monica, Rachel?!
48,Rachel," Oh God Monica hi! Thank God! I just went to
your building and you weren't there and then this guy with a big hammer said you might be
here and you are, you are!"
50,Monica," (pointing at Rachel) De-caff. (to All) Okay,
everybody, this is Rachel, another Lincoln High survivor. (to Rachel) This is everybody,
this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross? "
51,Rachel," Hi, sure!"
52,Ross, Hi. 
54,Monica," So you wanna tell us now, or are we waiting
for four wet bridesmaids?"
55,Rachel," Oh God... well, it started about a half hour
before the wedding. I was in the room where we were keeping all the presents, and I was
looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden-
(to the waitress that brought her coffee)Sweet 'n' Lo?- I realized that I was more turned
on by this gravy boat than by Barry! And then I got really freaked out, and that's when it
hit me how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked
familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I
doing this, and who am I doing this for?'. (to Monica) So anyway I just didn't know where
to go, and I know that you and I have kinda drifted apart, but you're the only person I
knew who lived here in the city."
56,Monica, Who wasn't invited to the wedding.
57,Rachel," Ooh, I was kinda hoping that wouldn't be an
issue... [Scene Monica's Apartment, everyone is there and watching a Spanish Soap on TV
and are trying to figure out what is going on.]"
58,Monica," Now I'm guessing that he bought her the big
pipe organ, and she's really not happy about it. "
59,Chandler," (imitating the characters)
Tuna or egg salad?  Decide!"
60,Ross," (in a deep voice) I'll have
whatever Christine is having."
61,Rachel," (on phone) Daddy, I just... I can't marry
him! I'm sorry. I just don't love him. Well, it matters to me! "
63,Phoebe,"  If I let go of
my hair, my head will fall off. "
64,Chandler," (re TV) Ooh, she should not be wearing
those pants. "
65,Joey, I say push her down the stairs. 
68,Rachel," C'mon Daddy, listen to me! It's like, it's
like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a
shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a
shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you
to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!"
69,Ross, You can see where he'd have trouble.
70,Rachel," Look Daddy, it's my life. Well maybe I'll
just stay here with Monica. "
71,Monica," Well, I guess we've established who's
staying here with Monica..."
72,Rachel," Well, maybe that's my decision. Well, maybe
I don't need your money. Wait!! Wait, I said maybe!!"
74,Monica," Just breathe, breathe.. that's it. Just try
to think of nice calm things..."
75,Phoebe," (sings) Raindrops on roses and rabbits and
kittens, (Rachel and Monica turn to look at her.) bluebells and sleighbells and- something
with mittens... La la la la...something and noodles with
string.  These are a few..."
76,Rachel, I'm all better now.
77,Phoebe," (grins and walks to the kitchen and says to
Chandler and Joey.) I helped!"
78,Monica," Okay, look, this is probably for the best,
y'know? Independence. Taking control of your life.  The whole,
'hat' thing."
79,Joey," (comforting her) And hey, you need anything,
you can always come to Joey. Me and Chandler live across the hall. And he's away a lot."
80,Monica," Joey, stop hitting on her! It's her wedding
day!"
81,Joey," What, like there's a rule or something?"
83,Chandler," Please don't do that again, it's a
horrible sound."
85,Monica," Oh God, is it
630?  Buzz him in!"
